simulation time (min);1440.0;only events that occure within the simulation time are considered (events after that time are ignored)
manager id;event;time;result;involved station
1;EventManagerAddBikesToStation;23013;SUCCESS;172
1;EventManagerAddBikesToStation;23177;SUCCESS;172
1;EventManagerAddBikesToStation;23198;SUCCESS;172
1;EventManagerAddBikesToStation;23227;SUCCESS;172
1;EventManagerTakeBikesFromStation;23400;SUCCESS;162
1;EventManagerTakeBikesFromStation;23400;SUCCESS;162
1;EventManagerTakeBikesFromStation;23400;SUCCESS;162
1;EventManagerTakeBikesFromStation;23400;SUCCESS;127
1;EventManagerTakeBikesFromStation;23400;SUCCESS;162
1;EventManagerTakeBikesFromStation;23400;SUCCESS;127
1;EventManagerTakeBikesFromStation;23400;SUCCESS;127
1;EventManagerTakeBikesFromStation;23400;SUCCESS;127
1;EventManagerTakeBikesFromStation;23400;SUCCESS;127
1;EventManagerTakeBikesFromStation;23400;SUCCESS;136
1;EventManagerTakeBikesFromStation;23400;SUCCESS;136
1;EventManagerTakeBikesFromStation;23400;SUCCESS;136
1;EventManagerTakeBikesFromStation;23400;SUCCESS;136
1;EventManagerTakeBikesFromStation;23400;SUCCESS;136
1;EventManagerAddBikesToStation;24382;SUCCESS;108
1;EventManagerAddBikesToStation;24438;SUCCESS;108
1;EventManagerAddBikesToStation;24446;SUCCESS;108
1;EventManagerAddBikesToStation;24639;SUCCESS;108
1;EventManagerAddBikesToStation;24757;SUCCESS;108
1;EventManagerAddBikesToStation;24818;SUCCESS;108
1;EventManagerAddBikesToStation;24878;SUCCESS;108
